County,Dist,District,"2016-17 Total
K-12 Aid",Governor's Budget Message (GBM) 2017-2018 Total Aid,2017-18 Approp. Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Under
Adequacy Aid","Supplemental
Enrollment
Growth Aid","PARCC
Readiness Aid","Per Pupil
Growth Aid","Adjustment
Aid","Professional
Learning
Community
Aid","Host District
Support Aid",2017-18 Approp. Act Revised Total K-12 Aid,"One Year
K-12 Aid
Difference",Aid Percent Difference
BURLINGTON,4050,PEMBERTON TWP,"83,609,595","83,609,595","82,089,354","44,597,100",0,"72,160","2,475,800","2,658,413","1,276,133",0,0,"47,520","47,520","30,869,988","44,720",0,"82,089,354","-1,520,241",-1.82%
BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,"16,068,551","16,068,551","16,095,580","13,354,556",0,0,"963,680","1,228,647","219,078",0,0,"20,060","20,060","268,619","20,880",0,"16,095,580","27,029",0.17%
BURLINGTON,4450,RIVERSIDE TWP,"10,939,934","10,939,934","11,173,307","10,277,763",0,0,"50,406","702,734","85,315","19,179",0,"12,640","12,640",0,"12,630",0,"11,173,307","233,373",2.13%
BURLINGTON,4460,RIVERTON,"547,970","547,970","547,970","284,559",0,0,"27,967","193,849","30,875",0,0,"3,560","3,560",0,"3,600",0,"547,970",0,0.00%
BURLINGTON,4740,SHAMONG TWP,"4,251,771","4,251,771","4,251,771","3,430,365",0,0,"224,964","507,214","65,308",0,0,"8,250","8,250",0,"7,420",0,"4,251,771",0,0.00%
BURLINGTON,4930,SOUTHAMPTON TWP,"2,135,196","2,135,196","2,092,492","425,897",0,0,"366,769","455,453","71,701",0,0,"7,280","7,280","751,162","6,950",0,"2,092,492","-42,704",-2.00%
BURLINGTON,5010,SPRINGFIELD TWP,"1,215,549","1,215,549","1,191,238","763,643",0,0,"139,769","159,516","22,191",0,0,"2,420","2,420","99,279","2,000",0,"1,191,238","-24,311",-2.00%
BURLINGTON,5130,TABERNACLE TWP,"5,473,344","5,473,344","5,363,877","3,405,745",0,0,"337,115","465,120","66,283",0,0,"7,330","7,330","1,067,804","7,150",0,"5,363,877","-109,467",-2.00%
BURLINGTON,5490,WASHINGTON TWP,"673,798","673,798","660,322","145,473",0,"35,934","83,884","52,560","9,777",0,0,960,960,"329,814",960,0,"660,322","-13,476",-2.00%
BURLINGTON,5720,WESTAMPTON,"3,736,794","3,736,794","3,750,314","2,864,330",0,0,"169,828","571,393","93,300","22,243",0,"9,840","9,840",0,"9,540",0,"3,750,314","13,520",0.36%
BURLINGTON,5805,WILLINGBORO TWP,"38,450,560","38,450,560","38,471,878","34,408,654",0,0,"470,570","2,391,334","1,086,670",0,0,"38,910","38,910",0,"36,830",0,"38,471,878","21,318",0.06%
BURLINGTON,5890,WOODLAND TWP,"911,938","911,938","908,807","706,424",0,0,"58,119","88,141","14,839",0,0,"1,430","1,430","36,904","1,520",0,"908,807","-3,131",-0.34%
CAMDEN,150,AUDUBON BORO,"8,303,642","8,321,546","8,409,554","5,957,483",0,"939,960","62,870","713,615","131,828","25,300",0,"13,430","13,430","537,678","13,960",0,"8,409,554","105,912",1.28%
CAMDEN,190,BARRINGTON BORO,"3,274,345","3,274,345","3,343,697","2,746,512",0,0,"23,765","524,444","23,536",0,0,"8,540","8,540",0,"8,360",0,"3,343,697","69,352",2.12%
CAMDEN,260,BELLMAWR BORO,"5,180,807","5,180,807","5,533,555","4,543,870",0,"160,144","13,000","613,550","66,438","104,103",0,"10,720","10,720",0,"11,010",0,"5,533,555","352,748",6.81%
CAMDEN,330,BERLIN BORO,"3,701,976","3,701,976","3,725,649","3,037,141",0,0,"54,903","495,390","35,051","77,184",0,"8,790","8,790",0,"8,400",0,"3,725,649","23,673",0.64%
CAMDEN,340,BERLIN TWP,"5,658,612","5,683,680","5,695,151","4,507,657",0,"392,732","53,122","446,997","133,463",0,0,"7,590","7,590","136,391","8,180","1,429","5,695,151","36,539",0.65%
CAMDEN,390,BLACK HORSE PIKE REGIONAL,"33,536,468","33,536,468","33,589,058","30,659,531",0,0,"226,607","2,425,197","163,463",0,0,"38,720","38,720",0,"36,820",0,"33,589,058","52,590",0.16%
CAMDEN,580,BROOKLAWN BORO,"4,482,694","4,482,694","4,482,694","3,451,709",0,"519,365","6,387","230,405","22,579","98,367",0,"4,060","4,060","142,142","3,620",0,"4,482,694",0,0.00%
CAMDEN,680,CAMDEN CITY,"280,072,565","280,072,565","280,088,059","215,719,201",0,0,"4,491,244","8,402,662","5,974,677",0,0,"148,690","148,690","45,048,515","154,380",0,"280,088,059","15,494",0.01%
CAMDEN,700,CAMDEN COUNTY VOCATIONAL,"22,501,202","22,501,202","22,581,598","21,139,963",0,0,0,"1,184,648","191,127",0,0,"22,560","22,560",0,"20,740",0,"22,581,598","80,396",0.36%
CAMDEN,800,CHERRY HILL TWP,"13,110,005","13,110,005","14,131,515","6,691,777",0,0,"555,448","6,294,933","264,597",0,0,"108,570","108,570",0,"107,620",0,"14,131,515","1,021,510",7.79%
CAMDEN,810,CHESILHURST,"2,498,030","2,498,030","2,448,069","1,533,518",0,0,"122,687","95,861","50,877",0,0,"1,310","1,310","641,066","1,440",0,"2,448,069","-49,961",-2.00%
CAMDEN,880,CLEMENTON BORO,"6,367,633","6,367,633","6,375,111","5,793,075",0,0,"57,738","371,383","135,485",0,0,"6,020","6,020",0,"5,390",0,"6,375,111","7,478",0.12%
CAMDEN,940,COLLINGSWOOD BORO,"10,470,822","10,499,331","10,375,955","7,838,657",0,"199,563","176,430","924,652","267,409",0,0,"16,010","16,010","920,794","16,430",0,"10,375,955","-94,867",-0.91%
CAMDEN,1255,EASTERN CAMDEN COUNTY REG,"9,292,586","9,292,586","9,292,586","7,393,341",0,0,"454,241","1,217,428","166,156",0,0,"20,440","20,440",0,"20,340",200,"9,292,586",0,0.00%
CAMDEN,1720,GIBBSBORO BORO,"1,415,946","1,415,946","1,387,627","857,242",0,0,"20,818","136,463","19,851",0,0,"2,630","2,630","345,683","2,310",0,"1,387,627","-28,319",-2.00%
CAMDEN,1770,GLOUCESTER CITY,"30,108,192","30,108,192","29,595,537","19,016,980",0,0,"233,679","1,014,725","591,010",0,0,"18,040","18,040","8,682,658","18,830","1,575","29,595,537","-512,655",-1.70%
CAMDEN,1780,GLOUCESTER TWP,"50,911,529","50,911,529","50,988,439","45,803,377",0,0,"513,108","3,992,445","487,009",0,0,"65,225","65,225",0,"62,050",0,"50,988,439","76,910",0.15%
CAMDEN,1880,HADDON HEIGHTS BORO,"1,714,858","1,765,262","1,729,957","446,874",0,"428,434","104,187","500,273","66,157",0,0,"8,930","8,930","157,142","9,030",0,"1,729,957","15,099",0.88%
CAMDEN,1890,HADDON TWP,"8,443,633","8,443,633","8,447,619","7,088,284",0,0,"74,530","1,181,261","44,199",0,0,"19,715","19,715",0,"19,915",0,"8,447,619","3,986",0.05%
CAMDEN,1900,HADDONFIELD,"961,986","961,986","1,078,297",0,0,0,"40,814","918,605","41,592","1,828",0,"24,780","24,780",243,"25,655",0,"1,078,297","116,311",12.09%
CAMDEN,2130,HI NELLA,"866,421","866,421","926,158","743,401",0,0,"37,318","59,002","24,574","58,093",0,"1,170","1,170",0,"1,430",0,"926,158","59,737",6.90%
CAMDEN,2540,LAUREL SPRINGS BORO,"1,916,973","1,924,509","1,999,445","1,617,905",0,"158,256","2,863","187,451","7,788",0,0,"3,390","3,390","15,072","3,330",0,"1,999,445","82,472",4.30%
CAMDEN,2560,LAWNSIDE BORO,"3,752,484","3,759,385","3,866,307","3,424,414",0,"62,109","29,924","259,513","78,427",0,0,"3,940","3,940",0,"4,040",0,"3,866,307","113,823",3.03%
CAMDEN,2670,LINDENWOLD BORO,"24,764,150","24,775,811","25,707,429","23,200,961",0,"293,755","167,623","1,304,369","430,638","179,546",0,"24,300","24,300","29,975","27,020","24,942","25,707,429","943,279",3.81%
CAMDEN,2890,MAGNOLIA BORO,"3,073,391","3,073,391","3,131,770","2,851,527",0,0,"2,078","244,021","22,793",0,0,"3,650","3,650",1,"4,050",0,"3,131,770","58,379",1.90%
CAMDEN,3110,MERCHANTVILLE BORO,"2,342,831","2,350,335","2,473,482","1,599,437",0,"544,852","24,628","236,151","15,047","28,323",0,"4,040","4,040",0,"4,770","12,194","2,473,482","130,651",5.58%
CAMDEN,3420,MOUNT EPHRAIM BORO,"3,949,876","3,972,784","4,015,533","3,361,546",0,"198,536","12,869","365,699","20,463",0,0,"6,120","6,120","38,180","6,000",0,"4,015,533","65,657",1.66%
CAMDEN,3770,OAKLYN BORO,"2,627,039","2,627,039","2,627,039","2,145,996",0,"134,022","7,293","275,669","23,254","16,232",0,"5,210","5,210","9,573","4,580",0,"2,627,039",0,0.00%
CAMDEN,4060,PENNSAUKEN TWP,"48,526,369","48,526,369","49,336,778","44,078,031",0,0,"534,586","3,077,525","1,492,071",0,0,"51,380","51,380",0,"51,805",0,"49,336,778","810,409",1.67%
CAMDEN,4110,PINE HILL BORO,"16,452,958","16,452,958","16,804,200","14,914,421",0,"306,300","237,752","883,541","414,356",0,0,"15,735","15,735",0,"16,360",0,"16,804,200","351,242",2.14%
CAMDEN,4590,RUNNEMEDE BORO,"4,876,849","4,877,443","4,994,548","4,326,621",0,"89,353","21,255","481,898","41,674",496,0,"7,940","7,940","8,123","8,390",858,"4,994,548","117,699",2.41%
CAMDEN,4790,SOMERDALE BORO,"3,094,057","3,094,057","3,180,008","2,535,797",0,"245,295","5,588","257,488","28,521","36,799",0,"5,540","5,540","54,510","4,930",0,"3,180,008","85,951",2.78%
CAMDEN,5035,STERLING HIGH SCHOOL DIST,"6,889,435","6,889,435","7,023,389","5,654,808",0,"798,506","12,482","501,852","31,881",0,0,"7,660","7,660",0,"8,540",0,"7,023,389","133,954",1.94%
CAMDEN,5080,STRATFORD BORO,"4,458,367","4,495,633","4,564,897","3,811,884",0,"193,596","44,058","427,954","24,380",0,0,"7,130","7,130","41,639","7,090",36,"4,564,897","106,530",2.39%
CAMDEN,5400,VOORHEES TWP,"5,562,934","5,562,934","5,562,934","2,916,383",0,0,"525,501","1,699,913","236,331",0,0,"28,215","28,215","100,761","27,615",0,"5,562,934",0,0.00%
CAMDEN,5560,WATERFORD TWP,"12,634,862","12,641,824","12,641,824","10,427,797",0,"292,404","683,050","981,906","200,265",0,0,"16,820","16,820","6,962","15,800",0,"12,641,824","6,962",0.06%
CAMDEN,5820,WINSLOW TWP,"44,171,666","44,171,666","44,023,246","38,341,995",0,0,"1,066,545","3,025,665","1,389,418",0,0,"46,290","46,290","61,313","45,730",0,"44,023,246","-148,420",-0.34%
CAMDEN,5900,WOODLYNNE BORO,"6,995,917","6,995,917","7,106,570","6,581,076",0,0,"24,467","349,858","63,427","70,192",0,"5,950","5,950",0,"5,650",0,"7,106,570","110,653",1.58%
CAPE MAY,170,AVALON BORO,"73,609","73,609","73,609",0,0,0,"27,597","39,551","4,841",0,0,610,610,0,400,0,"73,609",0,0.00%
CAPE MAY,710,CAPE MAY CITY,"555,373","569,214","557,830",0,0,"166,092","5,993","78,905","40,306",0,0,"1,330","1,330","262,174","1,700",0,"557,830","2,457",0.44%
CAPE MAY,720,CAPE MAY CO VOCATIONAL,"1,396,049","1,396,049","1,396,049",0,0,0,0,"349,150","74,927",0,0,"6,450","6,450","952,562","6,510",0,"1,396,049",0,0.00%
CAPE MAY,730,CAPE MAY POINT,"27,009","27,009","26,469",0,0,0,"1,796",187,156,0,0,30,30,"24,230",40,0,"26,469",-540,-2.00%
CAPE MAY,1080,DENNIS TWP,"6,167,055","6,167,055","6,043,714","1,063,893",0,0,"641,970","441,644","81,178",0,0,"6,880","6,880","3,795,219","6,050",0,"6,043,714","-123,341",-2.00%
CAPE MAY,2820,LOWER CAPE MAY REGIONAL,"9,982,676","10,041,368","9,840,541","95,936",0,"983,091","1,178,704","862,052","350,566",0,0,"14,230","14,230","6,328,122","13,610",0,"9,840,541","-142,135",-1.42%
CAPE MAY,2840,LOWER TWP,"10,177,147","10,177,147","9,973,604","5,202,298",0,"796,248","764,271","888,970","446,178",0,0,"16,460","16,460","1,826,869","15,850",0,"9,973,604","-203,543",-2.00%
CAPE MAY,3130,MIDDLE TWP,"13,590,070","13,590,070","13,318,269","6,227,922",0,"194,106","1,481,841","1,313,489","460,710",0,0,"22,560","22,560","3,572,576","22,505",0,"13,318,269","-271,801",-2.00%
CAPE MAY,3680,NORTH WILDWOOD CITY,"672,524","672,524","659,074",0,0,0,"49,582","156,877","60,674",0,0,"3,100","3,100","382,961","2,780",0,"659,074","-13,450",-2.00%
CAPE MAY,3780,OCEAN CITY,"3,787,076","3,787,076","3,804,445",0,0,"2,654,400","232,343","684,538","162,163",0,0,"13,740","13,740","27,650","14,470","1,401","3,804,445","17,369",0.46%
CAPE MAY,4700,SEA ISLE CITY,"255,774","255,774","250,659",0,0,0,"96,010","61,912","16,305",0,"32,384",930,930,"41,358",830,0,"250,659","-5,115",-2.00%
CAPE MAY,5060,STONE HARBOR BORO,"53,971","53,971","52,892",0,0,0,"19,876","23,364","2,797",0,0,350,350,"5,845",310,0,"52,892","-1,079",-2.00%
CAPE MAY,5340,UPPER TWP,"10,189,044","10,189,044","9,985,263","4,307,772",0,"473,760","1,445,583","1,098,835","164,852",0,0,"19,270","19,270","2,436,501","19,420",0,"9,985,263","-203,781",-2.00%
CAPE MAY,5610,WEST CAPE MAY BORO,"630,246","630,246","630,246",0,0,"548,457","5,454","28,525","6,810","38,690",0,830,830,0,650,0,"630,246",0,0.00%
CAPE MAY,5700,WEST WILDWOOD,"40,334","40,334","40,543",0,0,0,"2,389","33,700","3,044",0,0,520,520,0,370,0,"40,543",209,0.52%
CAPE MAY,5790,WILDWOOD CITY,"5,211,073","5,211,073","5,106,852","863,844",0,0,"119,536","402,345","277,022",0,0,"7,750","7,750","3,420,995","7,610",0,"5,106,852","-104,221",-2.00%
CAPE MAY,5800,WILDWOOD CREST BORO,"701,649","701,649","687,616",0,0,"186,998","52,476","166,971","38,034",0,0,"2,480","2,480","235,387","2,790",0,"687,616","-14,033",-2.00%
CAPE MAY,5840,WOODBINE BORO,"2,972,035","2,972,035","2,941,904","1,802,434",0,"32,028","164,200","124,339","85,575",0,0,"2,260","2,260","726,518","2,290",0,"2,941,904","-30,131",-1.01%
CUMBERLAND,540,BRIDGETON CITY,"80,607,366","80,628,089","82,864,389","72,993,437","3,901,078",0,"612,716","2,759,976","2,049,360","311,832",0,"53,690","53,690",0,"57,240","71,370","82,864,389","2,257,023",2.80%
CUMBERLAND,950,COMMERCIAL TWP,"10,262,823","10,262,823","10,269,118","9,277,063",0,0,"209,898","475,209","282,814",944,0,"7,800","7,800",0,"7,590",0,"10,269,118","6,295",0.06%
CUMBERLAND,995,CUMBERLAND CO VOCATIONAL,"3,928,676","3,928,676","4,049,193","3,851,334",0,0,0,"165,041","22,808",0,0,"3,730","3,730",0,"2,550",0,"4,049,193","120,517",3.07%
CUMBERLAND,997,CUMBERLAND REGIONAL,"12,244,449","12,244,449","12,390,855","10,276,499",0,"856,660","144,916","708,459","184,232",0,0,"12,940","12,940","181,409","12,800",0,"12,390,855","146,406",1.20%
CUMBERLAND,1020,DEERFIELD TWP,"2,504,460","2,504,460","2,565,216","2,293,160",0,0,"22,206","194,666","45,634",0,0,"3,220","3,220",0,"3,110",0,"2,565,216","60,756",2.43%
CUMBERLAND,1120,DOWNE TWP,"1,857,766","1,857,766","1,820,611","1,148,599",0,"198,816","113,283","109,379","40,699",0,0,"1,970","1,970","204,055","1,840",0,"1,820,611","-37,155",-2.00%
CUMBERLAND,1460,FAIRFIELD TWP,"6,060,073","6,060,073","6,106,657","5,178,123",0,0,"158,123","292,489","168,555","41,872",0,"4,940","4,940","244,271","5,600","7,744","6,106,657","46,584",0.77%
CUMBERLAND,1820,GREENWICH TWP,"428,908","428,908","420,330","189,820",0,0,"17,030","37,201","7,420",0,0,645,645,"167,009",560,0,"420,330","-8,578",-2.00%
CUMBERLAND,2270,HOPEWELL TWP,"3,429,475","3,429,475","3,425,096","2,683,582",0,0,"146,745","274,695","72,462","4,710",0,"5,010","5,010","228,122","4,760",0,"3,425,096","-4,379",-0.13%
CUMBERLAND,2570,LAWRENCE TWP,"6,104,962","6,106,079","6,221,388","5,206,532",0,"428,960","64,740","335,985","160,344","3,746",0,"5,780","5,780",0,"6,010","3,511","6,221,388","116,426",1.91%
CUMBERLAND,3050,MAURICE RIVER TWP,"4,749,732","4,764,028","4,767,121","3,565,907",0,"450,324","293,159","287,934","96,207","21,720",0,"5,470","5,470","35,740","5,190",0,"4,767,121","17,389",0.37%
CUMBERLAND,3230,MILLVILLE CITY,"68,009,023","68,009,023","67,197,040","49,661,944",0,0,"1,606,779","2,732,287","1,561,540",0,0,"49,600","49,600","11,486,080","49,210",0,"67,197,040","-811,983",-1.19%
CUMBERLAND,5070,STOW CREEK TWP,"834,923","834,923","818,225","566,534",0,0,"52,430","69,186","16,507",0,0,"1,150","1,150","110,188","1,080",0,"818,225","-16,698",-2.00%
CUMBERLAND,5300,UPPER DEERFIELD TWP,"6,335,736","6,336,224","6,476,862","5,767,704",0,0,"66,969","465,051","151,057",0,0,"8,370","8,370",0,"8,670",671,"6,476,862","141,126",2.23%
CUMBERLAND,5390,VINELAND CITY,"136,799,340","136,810,640","134,750,848","90,151,959",0,"22,600","4,318,538","5,294,946","3,053,366",0,0,"101,180","101,180","31,605,649","101,430",0,"134,750,848","-2,048,492",-1.50%
ESSEX,250,BELLEVILLE TOWN,"25,971,780","25,971,780","26,986,513","22,910,926",0,0,"221,550","2,880,246","332,971","500,000",0,"47,430","47,430",0,"45,960",0,"26,986,513","1,014,733",3.91%
ESSEX,410,BLOOMFIELD TWP,"21,057,962","21,057,962","23,020,310","17,137,793",0,0,"225,567","3,747,967","1,217,753","500,000",0,"63,400","63,400",0,"64,430",0,"23,020,310","1,962,348",9.32%
ESSEX,660,CALDWELL-WEST CALDWELL,"1,044,523","1,044,523","1,178,327",0,0,0,"82,330","971,862","46,270",0,0,"26,025","26,025",0,"25,815",0,"1,178,327","133,804",12.81%
ESSEX,760,CEDAR GROVE TWP,"777,638","777,638","850,192",0,0,0,"66,137","703,504","30,041",0,0,"17,010","17,010",0,"16,490",0,"850,192","72,554",9.33%
ESSEX,1210,EAST ORANGE,"178,297,649","178,297,649","175,158,952","134,162,325",0,0,"1,172,856","6,445,125","3,875,263",0,0,"98,680","98,680","29,208,533","97,490",0,"175,158,952","-3,138,697",-1.76%
ESSEX,1390,ESSEX CO VOC-TECH,"20,799,941","20,799,941","21,094,830","19,457,222",0,0,0,"1,303,998","220,501",0,0,"22,300","22,300","45,849","22,660",0,"21,094,830","294,889",1.42%
ESSEX,1400,ESSEX FELLS BORO,"100,590","100,590","106,106",0,0,0,"1,019","94,788","3,084",0,0,"1,760","1,760","1,915","1,780",0,"106,106","5,516",5.48%
ESSEX,1465,FAIRFIELD TWP,"316,882","316,882","344,075",0,0,0,"21,731","291,435","12,368",0,0,"6,260","6,260",1,"6,020",0,"344,075","27,193",8.58%
ESSEX,1750,GLEN RIDGE BORO,"780,892","780,892","856,408",0,0,0,"28,002","738,613","33,353",0,0,"18,960","18,960",0,"18,520",0,"856,408","75,516",9.67%
ESSEX,2330,IRVINGTON TOWNSHIP,"113,296,380","113,370,076","113,477,223","82,248,603",0,0,"1,164,430","4,401,641","2,533,865",0,0,"71,110","71,110","22,051,380","73,300","861,784","113,477,223","180,843",0.16%
ESSEX,2730,LIVINGSTON TWP,"2,609,301","2,609,301","2,923,821",0,0,0,"241,059","2,398,755","104,597",0,0,"59,680","59,680",0,"60,050",0,"2,923,821","314,520",12.05%
ESSEX,3190,MILLBURN TWP,"2,041,217","2,041,217","2,287,588",0,0,0,"151,719","1,900,480","87,549",0,0,"49,400","49,400",0,"49,040",0,"2,287,588","246,371",12.07%
ESSEX,3310,MONTCLAIR TOWN,"6,863,068","6,863,068","6,891,951",0,0,0,"1,175,389","4,260,034","749,384",0,0,"68,020","68,020","503,304","67,800",0,"6,891,951","28,883",0.42%
ESSEX,3570,NEWARK CITY,"742,025,050","743,420,622","750,118,011","655,870,579",0,0,"6,797,523","28,732,094","19,436,638",0,0,"477,920","477,920","14,361,248","506,590","23,457,499","750,118,011","8,092,961",1.09%
ESSEX,3630,NORTH CALDWELL BORO,"241,172","241,172","279,958",0,0,0,"84,466","127,099","48,882",0,0,"6,540","6,540",1,"6,430",0,"279,958","38,786",16.08%
ESSEX,3750,NUTLEY TOWN,"7,095,097","7,095,416","7,237,573","4,478,673",0,0,"104,457","2,451,565","81,159",0,0,"40,380","40,380",0,"40,640",319,"7,237,573","142,476",2.01%
ESSEX,3880,CITY OF ORANGE TWP,"74,020,695","74,024,748","75,202,477","62,244,876","7,152,931",0,"568,151","2,919,794","1,858,563","265,589",0,"49,800","49,800",0,"52,570","40,403","75,202,477","1,181,782",1.60%
ESSEX,4530,ROSELAND BORO,"282,034","282,034","295,749",0,0,0,"23,894","251,078","8,056",0,0,"4,330","4,330",1,"4,060",0,"295,749","13,715",4.86%
ESSEX,4900,SOUTH ORANGE-MAPLEWOOD,"4,307,567","4,307,567","4,549,527",0,0,0,"323,922","3,825,617","187,988",0,0,"70,160","70,160",0,"71,680",0,"4,549,527","241,960",5.62%
ESSEX,5370,VERONA BORO,"916,688","916,688","1,003,766",0,0,0,"19,303","880,894","38,359",0,0,"21,960","21,960",0,"21,290",0,"1,003,766","87,078",9.50%
ESSEX,5630,WEST ESSEX REGIONAL,"1,051,982","1,051,982","1,145,989",0,0,0,"182,327","882,967","29,634",0,0,"16,800","16,800",1,"17,460",0,"1,145,989","94,007",8.94%
ESSEX,5680,WEST ORANGE TOWN,"7,047,683","7,047,683","8,551,053","3,234,482",0,0,"524,095","4,143,435","440,321",0,0,"70,410","70,410",0,"67,900",0,"8,551,053","1,503,370",21.33%
GLOUCESTER,860,CLAYTON BORO,"9,975,618","9,975,618","10,308,407","9,055,079",0,"141,455","70,560","742,641","180,975","77,145",0,"13,055","13,055",0,"13,740",702,"10,308,407","332,789",3.34%
GLOUCESTER,870,CLEARVIEW REGIONAL,"15,000,094","15,000,094","15,000,094","12,745,719",0,0,"440,789","1,418,100","196,159","124,697",0,"25,200","25,200",0,"24,230",0,"15,000,094",0,0.00%
GLOUCESTER,1100,DEPTFORD TWP,"23,651,378","23,651,378","24,287,367","20,845,846",0,"126,182","365,085","2,328,005","483,815","12,894",0,"41,780","41,780",0,"41,980",0,"24,287,367","635,989",2.69%
GLOUCESTER,1180,EAST GREENWICH TWP,"3,475,969","3,475,969","3,648,914","2,138,484",0,0,"98,186","626,378","83,010","123,906","539,780","12,990","12,990",0,"13,190",0,"3,648,914","172,945",4.98%
GLOUCESTER,1330,ELK TWP,"2,572,361","2,572,361","2,533,604","2,013,576",0,"86,628","157,280","195,091","66,201","5,178",0,"3,320","3,320",0,"3,010",0,"2,533,604","-38,757",-1.51%
GLOUCESTER,1590,FRANKLIN TWP,"8,803,530","8,803,530","8,875,221","7,523,525",0,0,"398,979","737,647","177,000",0,0,"12,550","12,550",0,"12,970",0,"8,875,221","71,691",0.81%
GLOUCESTER,1715,GATEWAY REGIONAL,"7,507,065","7,507,065","7,670,486","6,007,866",0,"563,112","450,129","494,440","118,138",0,0,"9,350","9,350","7,128","9,780","1,193","7,670,486","163,421",2.18%
GLOUCESTER,1730,GLASSBORO,"16,554,309","16,554,309","16,571,091","14,781,988",0,"122,281","124,448","1,207,847","272,057",0,0,"21,040","21,040",0,"20,390",0,"16,571,091","16,782",0.10%
GLOUCESTER,1775,GLOUCESTER CO VOCATIONAL,"7,732,725","7,732,725","7,980,648","7,211,480",0,0,0,"692,109","35,659",0,0,"13,980","13,980",0,"13,440",0,"7,980,648","247,923",3.21%
GLOUCESTER,1830,GREENWICH TWP,"1,132,945","1,132,945","1,110,286",0,0,0,"272,578","346,767","86,030",0,0,"5,670","5,670","388,061","5,510",0,"1,110,286","-22,659",-2.00%
GLOUCESTER,2070,HARRISON TWP,"6,171,027","6,171,027","6,171,027","5,034,332",0,0,"188,491","800,303","107,201",0,0,"13,560","13,560",0,"13,580",0,"6,171,027",0,0.00%
GLOUCESTER,2440,KINGSWAY REGIONAL,"8,866,900","8,866,900","9,599,143","6,867,815",0,0,"293,272","1,152,423","160,339","133,057","921,670","22,880","22,880",0,"24,530",277,"9,599,143","732,243",8.26%
GLOUCESTER,2750,LOGAN TWP,"5,405,785","5,416,407","5,308,079","3,990,950",0,"10,622","384,544","633,953","101,621",0,0,"10,620","10,620","154,459","10,690",0,"5,308,079","-97,706",-1.81%
GLOUCESTER,2990,MANTUA TWP,"6,171,701","6,171,701","6,171,701","5,286,989",0,0,"94,099","731,840","24,998",0,0,"11,490","11,490",0,"10,795",0,"6,171,701",0,0.00%
GLOUCESTER,3280,MONROE TWP,"34,838,962","34,838,962","35,740,575","30,871,828",0,0,"493,145","3,393,886","664,750","138,556",0,"59,305","59,305",0,"59,800",0,"35,740,575","901,613",2.59%
GLOUCESTER,3490,NATIONAL PARK BORO,"2,087,717","2,087,717","2,098,195","1,918,294",0,0,"7,275","150,383","15,213",0,0,"2,300","2,300",0,"2,430",0,"2,098,195","10,478",0.50%
GLOUCESTER,3580,NEWFIELD BORO,"1,437,594","1,437,594","1,467,748","1,198,510",0,0,"88,650","130,013","43,725",0,0,"2,340","2,340",0,"2,170",0,"1,467,748","30,154",2.10%
GLOUCESTER,4020,PAULSBORO BORO,"12,240,579","12,240,579","12,436,023","11,611,950",0,"50,435","30,054","624,492","87,962",0,0,"10,345","10,345",0,"10,440",0,"12,436,023","195,444",1.60%
GLOUCESTER,4140,PITMAN BORO,"9,850,252","9,850,252","9,664,663","7,117,182",0,0,"148,522","802,068","136,140",0,0,"13,720","13,720","1,420,276","13,035",0,"9,664,663","-185,589",-1.88%
GLOUCESTER,4880,SOUTH HARRISON TWP,"1,634,459","1,634,459","1,657,978","921,710",0,"257,877","35,253","210,863","26,269","6,832","149,760","3,690","3,690","38,204","3,830",0,"1,657,978","23,519",1.44%
GLOUCESTER,4940,DELSEA REGIONAL H.S DIST.,"14,007,064","14,013,937","14,013,937","12,086,304",0,"391,761","300,718","956,261","231,243",0,0,"16,350","16,350",0,"14,950",0,"14,013,937","6,873",0.05%
GLOUCESTER,5120,SWEDESBORO-WOOLWICH,"6,987,560","6,987,560","7,217,672","4,786,614",0,0,"250,973","1,016,623","142,549","4,684","963,615","17,670","17,670",0,"17,030",244,"7,217,672","230,112",3.29%
GLOUCESTER,5500,WASHINGTON TWP,"50,115,305","50,115,305","49,112,999","38,162,410",0,0,"2,909,313","4,519,182","747,449",0,0,"73,560","73,560","2,557,135","70,390",0,"49,112,999","-1,002,306",-2.00%
GLOUCESTER,5590,WENONAH BORO,"500,494","500,494","500,494","348,977",0,0,"1,070","140,582","3,555",120,0,"2,190","2,190",0,"1,810",0,"500,494",0,0.00%
GLOUCESTER,5620,WEST DEPTFORD TWP,"12,146,669","12,146,669","12,335,282","9,917,725",0,0,"331,027","1,706,085","293,580",0,0,"29,050","29,050",0,"28,765",0,"12,335,282","188,613",1.55%
GLOUCESTER,5740,WESTVILLE BORO,"2,492,911","2,492,911","2,551,492","2,342,905",0,0,"3,994","174,074","20,739",0,0,"3,250","3,250",0,"3,280",0,"2,551,492","58,581",2.35%
GLOUCESTER,5860,WOODBURY CITY,"12,103,526","12,103,526","12,425,436","11,234,944",0,"125,388","50,380","864,312","107,702",0,0,"14,380","14,380",0,"13,950",0,"12,425,436","321,910",2.66%
