County,Dist,District,"2016-17 Total
K-12 Aid",Governor's Budget Message (GBM) 2017-2018 Total Aid,2017-18 Approp. Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Under
Adequacy Aid","Supplemental
Enrollment
Growth Aid","PARCC
Readiness Aid","Per Pupil
Growth Aid","Adjustment
Aid","Professional
Learning
Community
Aid","Host District
Support Aid",2017-18 Approp. Act Revised Total K-12 Aid,"One Year
K-12 Aid
Difference",Aid Percent Difference
BERGEN,300,BERGENFIELD BORO,"10,896,337","10,908,886","11,359,313","8,619,280",0,"238,431","95,498","2,104,440","181,274",0,0,"35,030","35,030","12,549","35,060","2,721","11,359,313","462,976",4.25%
BERGEN,440,BOGOTA BORO,"5,662,189","5,662,189","5,809,244","4,803,287",0,0,"53,824","764,979","73,248",0,0,"11,100","11,100","80,476","11,230",0,"5,809,244","147,055",2.60%
BERGEN,740,CARLSTADT BORO,"258,676","258,676","280,294",0,0,0,"11,303","226,694","24,947",0,0,"5,980","5,980",0,"5,390",0,"280,294","21,618",8.36%
BERGEN,745,CARLSTADT-EAST RUTHERFORD,"367,314","367,314","385,730",0,0,0,"33,623","317,737","18,800",0,0,"5,280","5,280",0,"5,010",0,"385,730","18,416",5.01%
BERGEN,890,CLIFFSIDE PARK BORO,"3,665,603","3,665,603","3,909,862","1,769,000",0,0,"41,923","1,378,925","377,200","268,344",0,"24,560","24,560",0,"25,350",0,"3,909,862","244,259",6.66%
BERGEN,930,CLOSTER BORO,"447,865","447,865","493,089",0,0,0,"17,362","424,788","18,669",0,0,"10,720","10,720",0,"10,830",0,"493,089","45,224",10.10%
BERGEN,990,CRESSKILL BORO,"768,572","768,572","832,891",0,0,0,"18,791","732,897","29,323",0,0,"17,150","17,150",0,"17,580",0,"832,891","64,319",8.37%
BERGEN,1070,DEMAREST BORO,"332,477","332,477","353,347",0,0,0,"9,872","311,177","11,558",0,0,"6,960","6,960",0,"6,820",0,"353,347","20,870",6.28%
BERGEN,1130,DUMONT BORO,"8,679,571","8,679,571","8,691,772","6,782,710",0,0,"48,860","1,729,791","53,501",0,0,"25,900","25,900",0,"25,110",0,"8,691,772","12,201",0.14%
BERGEN,1230,EAST RUTHERFORD BORO,"611,198","611,198","626,225",0,0,0,"42,331","435,275","124,143",0,0,"7,650","7,650",0,"8,230",946,"626,225","15,027",2.46%
BERGEN,1270,EDGEWATER BORO,"975,360","975,360","1,034,472",0,0,0,"136,664","535,423","45,596","21,476","255,143","13,300","13,300",0,"13,570",0,"1,034,472","59,112",6.06%
BERGEN,1345,ELMWOOD PARK,"3,127,693","3,127,693","4,738,567","2,276,873",0,0,"135,016","1,551,273","195,455","500,000",0,"26,780","26,780",0,"26,390",0,"4,738,567","1,610,874",51.50%
BERGEN,1360,EMERSON BORO,"507,974","507,974","553,411",0,0,0,"34,285","462,501","21,975",0,0,"11,620","11,620",0,"11,410",0,"553,411","45,437",8.95%
BERGEN,1370,ENGLEWOOD CITY,"9,649,835","9,649,835","9,489,104",0,0,"4,324,509","687,644","1,813,061","977,741",0,0,"30,440","30,440","1,594,199","31,070",0,"9,489,104","-160,731",-1.67%
BERGEN,1380,ENGLEWOOD CLIFFS BORO,"301,245","301,245","333,151",0,0,0,"42,818","263,965","8,968",0,0,"5,780","5,780",0,"5,840",0,"333,151","31,906",10.59%
BERGEN,1450,FAIR LAWN BORO,"3,423,378","3,423,378","3,963,579","682,387",0,0,"224,872","2,818,180","99,509",0,0,"45,520","45,520",0,"47,170",421,"3,963,579","540,201",15.78%
BERGEN,1470,FAIRVIEW BORO,"7,478,669","7,478,676","8,690,741","7,078,912",0,0,"35,012","965,114","131,131","428,905",0,"17,310","17,310",0,"17,040",7,"8,690,741","1,212,072",16.21%
BERGEN,1550,FORT LEE BORO,"2,101,283","2,101,283","2,228,995",0,0,0,"91,990","1,916,432","105,243",0,0,"38,770","38,770",0,"37,790",0,"2,228,995","127,712",6.08%
BERGEN,1580,FRANKLIN LAKES BORO,"767,264","767,264","789,334",0,0,0,"61,872","657,704","20,872",0,0,"12,010","12,010","14,036","10,830",0,"789,334","22,070",2.88%
BERGEN,1700,GARFIELD CITY,"56,248,834","56,248,834","56,596,841","51,257,598",0,0,"709,240","2,896,716","1,552,503",0,0,"49,130","49,130",0,"49,380","33,144","56,596,841","348,007",0.62%
BERGEN,1760,GLEN ROCK BORO,"1,111,263","1,111,263","1,197,037",0,0,0,"27,336","1,058,667","40,164",0,0,"23,130","23,130",0,"24,610",0,"1,197,037","85,774",7.72%
BERGEN,1860,HACKENSACK CITY,"12,963,674","12,963,674","14,972,649","11,394,979",0,0,"120,857","2,875,902","424,121",0,0,"51,290","51,290",0,"54,210",0,"14,972,649","2,008,975",15.50%
BERGEN,2050,HARRINGTON PARK BORO,"296,531","296,531","317,419","2,317",0,0,"5,070","279,759","10,942",0,0,"6,440","6,440",1,"6,450",0,"317,419","20,888",7.04%
BERGEN,2080,HASBROUCK HEIGHTS BORO,"1,172,404","1,172,404","1,484,965","327,579",0,0,"40,399","997,916","46,450","14,450",0,"19,510","19,510",1,"19,150",0,"1,484,965","312,561",26.66%
BERGEN,2090,HAWORTH BORO,"215,435","215,435","225,922",0,0,0,"6,952","197,015","7,165",0,0,"4,310","4,310","2,010","4,160",0,"225,922","10,487",4.87%
BERGEN,2180,HILLSDALE BORO,"844,297","844,297","871,860","11,741",0,0,"34,121","742,271","23,068",0,0,"12,690","12,690","23,739","11,540",0,"871,860","27,563",3.27%
BERGEN,2200,HO HO KUS BORO,"477,287","477,287","516,074",0,0,0,"54,483","406,460","14,624",0,0,"8,800","8,800","14,257","8,650",0,"516,074","38,787",8.13%
BERGEN,2620,LEONIA BORO,"3,592,204","3,592,204","3,592,204","2,614,849",0,0,"11,212","896,489","27,544",0,0,"14,050","14,050",0,"14,010",0,"3,592,204",0,0.00%
BERGEN,2710,LITTLE FERRY BORO,"1,490,787","1,490,901","2,140,230","1,169,828",0,0,"81,936","795,218","51,579",0,0,"13,390","13,390",0,"13,430","1,459","2,140,230","649,443",43.56%
BERGEN,2740,LODI BOROUGH,"14,508,710","14,508,710","15,800,234","13,086,190",0,0,"154,483","2,123,388","255,334","76,849",0,"35,130","35,130",0,"33,730",0,"15,800,234","1,291,524",8.90%
BERGEN,2860,LYNDHURST TWP,"2,053,597","2,053,597","2,098,617","404,524",0,0,"61,668","1,484,288","75,106",0,0,"24,220","24,220",1,"24,590",0,"2,098,617","45,020",2.19%
BERGEN,2900,MAHWAH TWP,"2,346,236","2,346,236","2,427,120",0,0,0,"288,066","1,989,854","59,339",0,0,"30,305","30,305",1,"29,250",0,"2,427,120","80,884",3.45%
BERGEN,3060,MAYWOOD BORO,"1,190,660","1,190,660","1,200,808","324,912",0,0,"55,403","759,538","23,035",0,0,"12,790","12,790",0,"12,340",0,"1,200,808","10,148",0.85%
BERGEN,3170,MIDLAND PARK BORO,"635,510","635,510","647,158","33,981",0,0,"22,354","543,404","18,299",0,0,"9,520","9,520",0,"10,080",0,"647,158","11,648",1.83%
BERGEN,3330,MONTVALE BORO,"513,778","513,778","552,470",0,0,0,"48,856","454,655","18,499",0,0,"10,340","10,340",0,"9,780",0,"552,470","38,692",7.53%
BERGEN,3350,MOONACHIE BORO,"404,659","404,659","410,811",0,0,0,"86,776","223,111","73,184",0,0,"3,560","3,560","16,590","4,030",0,"410,811","6,152",1.52%
BERGEN,3550,NEW MILFORD BORO,"1,796,368","1,796,368","1,872,920","388,569",0,0,"82,397","1,294,330","47,564",0,0,"20,170","20,170",0,"19,720",0,"1,872,920","76,552",4.26%
BERGEN,3600,NORTH ARLINGTON BORO,"1,814,432","1,816,834","2,187,694","1,044,882",0,0,"34,472","1,003,779","48,132",0,0,"17,610","17,610",0,"18,290","2,919","2,187,694","373,262",20.57%
BERGEN,3700,NORTHERN HIGHLANDS REG,"596,272","596,272","646,988",0,0,0,"100,760","437,417","77,671",0,0,"10,480","10,480",0,"10,180",0,"646,988","50,716",8.51%
BERGEN,3710,NORTHERN VALLEY REGIONAL,"1,242,082","1,242,082","1,313,191",0,0,0,"93,037","1,108,571","42,643",0,0,"23,230","23,230",0,"22,480",0,"1,313,191","71,109",5.73%
BERGEN,3730,NORTHVALE BORO,"233,870","233,870","251,083",0,0,0,"8,483","219,369","8,370",0,0,"4,930","4,930",1,"5,000",0,"251,083","17,213",7.36%
BERGEN,3740,NORWOOD BORO,"408,214","408,214","418,355",0,0,0,"16,203","370,142","10,070",0,0,"6,000","6,000","3,920","6,020",0,"418,355","10,141",2.48%
BERGEN,3760,OAKLAND BORO,"684,249","684,249","739,445",0,0,0,"60,106","603,756","28,723",0,0,"16,140","16,140",0,"14,580",0,"739,445","55,196",8.07%
BERGEN,3850,OLD TAPPAN BORO,"380,101","380,101","399,681",0,0,0,"19,500","345,089","12,912",0,0,"7,560","7,560",0,"7,060",0,"399,681","19,580",5.15%
BERGEN,3870,ORADELL BORO,"353,732","353,732","377,547",0,0,0,"6,900","334,094","13,503",0,0,"7,780","7,780",0,"7,490",0,"377,547","23,815",6.73%
BERGEN,3910,PALISADES PARK,"1,935,770","1,935,770","1,936,474","711,969",0,0,"15,944","959,468","75,469","103,841",0,"16,770","16,770","19,353","16,890",0,"1,936,474",704,0.04%
BERGEN,3930,PARAMUS BORO,"2,048,461","2,048,461","2,204,967",0,0,0,"219,658","1,801,797","69,352",0,0,"38,180","38,180",0,"37,800",0,"2,204,967","156,506",7.64%
BERGEN,3940,PARK RIDGE BORO,"592,588","592,588","630,371",0,0,0,"21,781","547,829","22,761",0,0,"12,970","12,970",0,"12,060",0,"630,371","37,783",6.38%
BERGEN,3960,PASCACK VALLEY REGIONAL,"1,136,545","1,136,545","1,214,919",0,0,0,"110,465","1,006,656","35,828",0,0,"20,650","20,650",0,"20,670",0,"1,214,919","78,374",6.90%
BERGEN,4300,RAMAPO-INDIAN HILL REG,"1,280,379","1,280,379","1,403,572",0,0,0,"207,672","1,085,582","40,228",0,0,"23,430","23,430",0,"23,230",0,"1,403,572","123,193",9.62%
BERGEN,4310,RAMSEY BORO,"1,325,991","1,325,991","1,403,148",0,0,0,"81,666","1,194,536","47,931",0,0,"26,720","26,720",0,"25,575",0,"1,403,148","77,157",5.82%
BERGEN,4370,RIDGEFIELD BORO,"2,599,573","2,599,573","2,632,415","1,530,497",0,0,"20,828","974,383","50,732","11,745",0,"14,910","14,910",0,"14,410",0,"2,632,415","32,842",1.26%
