YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,BERGEN,CLIFFSIDE PARK BORO,890,"3,603,914","1,544,866",0,0,"32,152","1,350,696","358,736","268,344",0,"24,560","24,560",0,0,3603914.00,0
2015-2016,BERGEN,CLOSTER BORO,930,"434,763",0,0,0,"15,420","381,600","16,303",0,0,"10,720","10,720",0,0,434763.00,0
2015-2016,BERGEN,CRESSKILL BORO,990,"744,580",0,0,0,"16,859","667,983","25,438",0,0,"17,150","17,150",0,0,744580.00,0
2015-2016,BERGEN,DEMAREST BORO,1070,"324,035",0,0,0,"8,454","291,599","10,062",0,0,"6,960","6,960",0,0,324035.00,0
2015-2016,BERGEN,DUMONT BORO,1130,"8,622,469","6,765,905",0,0,"42,792","1,714,909","47,063",0,0,"25,900","25,900",0,0,8622469.00,0
2015-2016,BERGEN,EAST RUTHERFORD BORO,1230,"599,389",0,0,0,"40,797","421,679","121,613",0,0,"7,650","7,650",0,0,599389.00,0
2015-2016,BERGEN,EDGEWATER BORO,1270,"944,565",0,0,0,"113,998","487,053","40,295","21,476","255,143","13,300","13,300",0,0,944565.00,0
2015-2016,BERGEN,ELMWOOD PARK,1345,"3,060,505","687,826",0,0,"118,200","1,525,984","174,935","500,000",0,"26,780","26,780",0,0,3060505.00,0
2015-2016,BERGEN,EMERSON BORO,1360,"494,022",0,0,0,"29,805","421,733","19,244",0,0,"11,620","11,620",0,0,494022.00,0
2015-2016,BERGEN,ENGLEWOOD CITY,1370,"9,165,976",0,0,"4,241,664","685,463","1,782,777","971,642",0,0,"30,440","30,440","1,257,860","497,070",9497356.00,"331,380"
2015-2016,BERGEN,ENGLEWOOD CLIFFS BORO,1380,"293,971",0,0,0,"37,453","237,308","7,650",0,0,"5,780","5,780",0,0,293971.00,0
2015-2016,BERGEN,FAIR LAWN BORO,1450,"3,360,837","147,343",0,0,"198,378","2,837,781","86,295",0,0,"45,520","45,520",0,0,3360837.00,0
2015-2016,BERGEN,FAIRVIEW BORO,1470,"7,393,649","5,842,254",0,0,"31,122","947,543","109,205","428,905",0,"17,310","17,310",0,0,7393649.00,0
2015-2016,BERGEN,FORT LEE BORO,1550,"2,046,454",0,0,0,"79,344","1,797,805","91,765",0,0,"38,770","38,770",0,0,2046454.00,0
2015-2016,BERGEN,FRANKLIN LAKES BORO,1580,"736,334",0,0,0,"54,533","625,156","18,589",0,0,"12,010","12,010",0,"14,036",736334.00,0
2015-2016,BERGEN,GARFIELD CITY,1700,"55,908,626","50,705,135",0,0,"715,197","2,849,228","1,540,806",0,0,"49,130","49,130",0,0,55908626.00,0
2015-2016,BERGEN,GLEN ROCK BORO,1760,"1,081,249",0,0,0,"23,922","976,359","34,708",0,0,"23,130","23,130",0,0,1081249.00,0
2015-2016,BERGEN,HACKENSACK CITY,1860,"12,816,160","9,445,263",0,0,"92,175","2,812,756","363,386",0,0,"51,290","51,290",0,0,12816160.00,0
2015-2016,BERGEN,HARRINGTON PARK BORO,2050,"288,619","2,401",0,0,"4,026","259,783","9,528",0,0,"6,440","6,440",0,1,288619.00,0
2015-2016,BERGEN,HASBROUCK HEIGHTS BORO,2080,"1,143,379","16,038",0,0,"35,899","997,404","40,567","14,450",0,"19,510","19,510",0,1,1143379.00,0
2015-2016,BERGEN,HAWORTH BORO,2090,"210,167",0,0,0,"6,531","186,749","6,257",0,0,"4,310","4,310",0,"2,010",210167.00,0
2015-2016,BERGEN,HILLSDALE BORO,2180,"828,139","12,167",0,0,"31,235","715,195","20,423",0,0,"12,690","12,690",0,"23,739",828139.00,0
2015-2016,BERGEN,HO HO KUS BORO,2200,"465,891",0,0,0,"46,443","374,865","12,726",0,0,"8,800","8,800",0,"14,257",465891.00,0
2015-2016,BERGEN,LEONIA BORO,2620,"3,565,723","2,619,846",0,0,"8,871","885,744","23,162",0,0,"14,050","14,050",0,0,3565723.00,0
2015-2016,BERGEN,LITTLE FERRY BORO,2710,"1,464,821","539,377",0,0,"72,867","783,657","42,140",0,0,"13,390","13,390",0,0,1464821.00,0
2015-2016,BERGEN,LODI BOROUGH,2740,"14,369,247","11,767,636",0,0,"133,818","2,096,287","224,397","76,849",0,"35,130","35,130",0,0,14369247.00,0
2015-2016,BERGEN,LYNDHURST TWP,2860,"2,013,220","419,196",0,0,"53,694","1,426,063","65,826",0,0,"24,220","24,220",0,1,2013220.00,0
2015-2016,BERGEN,MAHWAH TWP,2900,"2,306,791",0,0,0,"253,921","1,940,400","51,859",0,0,"30,305","30,305",0,1,2306791.00,0
2015-2016,BERGEN,MAYWOOD BORO,3060,"1,169,240","336,696",0,0,"48,311","739,286","19,367",0,0,"12,790","12,790",0,0,1169240.00,0
2015-2016,BERGEN,MIDLAND PARK BORO,3170,"610,186","35,213",0,0,"19,908","519,994","16,031",0,0,"9,520","9,520",0,0,610186.00,0
2015-2016,BERGEN,MONTVALE BORO,3330,"501,519",0,0,0,"42,956","421,489","16,394",0,0,"10,340","10,340",0,0,501519.00,0
2015-2016,BERGEN,MOONACHIE BORO,3350,"393,175",0,0,0,"85,776","212,409","71,280",0,0,"3,560","3,560","16,590",0,393175.00,0
2015-2016,BERGEN,NEW MILFORD BORO,3550,"1,769,045","323,334",0,0,"71,767","1,292,035","41,569",0,0,"20,170","20,170",0,0,1769045.00,0
2015-2016,BERGEN,NORTH ARLINGTON BORO,3600,"1,781,919","690,197",0,0,"31,715","983,678","41,109",0,0,"17,610","17,610",0,0,1781919.00,0
2015-2016,BERGEN,NORTHERN HIGHLANDS REG,3700,"583,316",0,0,0,"90,004","394,722","77,630",0,0,"10,480","10,480",0,0,583316.00,0
2015-2016,BERGEN,NORTHERN VALLEY REGIONAL,3710,"1,213,728",0,0,0,"81,334","1,048,065","37,869",0,0,"23,230","23,230",0,0,1213728.00,0
2015-2016,BERGEN,NORTHVALE BORO,3730,"227,727",0,0,0,"7,388","203,208","7,270",0,0,"4,930","4,930",0,1,227727.00,0
2015-2016,BERGEN,NORWOOD BORO,3740,"400,235",0,0,0,"14,300","361,270","8,745",0,0,"6,000","6,000",0,"3,920",400235.00,0
2015-2016,BERGEN,OAKLAND BORO,3760,"666,208",0,0,0,"53,802","554,666","25,460",0,0,"16,140","16,140",0,0,666208.00,0
2015-2016,BERGEN,OLD TAPPAN BORO,3850,"371,213",0,0,0,"17,546","327,148","11,399",0,0,"7,560","7,560",0,0,371213.00,0
2015-2016,BERGEN,ORADELL BORO,3870,"344,492",0,0,0,"6,013","311,029","11,890",0,0,"7,780","7,780",0,0,344492.00,0
2015-2016,BERGEN,PALISADES PARK,3910,"1,900,447","725,995",0,0,"14,322","941,377","61,651","103,841",0,"16,770","16,770","10,501","9,220",1900447.00,0
2015-2016,BERGEN,PARAMUS BORO,3930,"2,000,986",0,0,0,"193,920","1,670,173","60,533",0,0,"38,180","38,180",0,0,2000986.00,0
2015-2016,BERGEN,PARK RIDGE BORO,3940,"577,598",0,0,0,"19,269","512,439","19,950",0,0,"12,970","12,970",0,0,577598.00,0
2015-2016,BERGEN,PASCACK VALLEY REGIONAL,3960,"1,110,542",0,0,0,"95,402","942,532","31,308",0,0,"20,650","20,650",0,0,1110542.00,0
