YEAR,COUNTY_NAME,DISTRICT_NAME,DIST_CODE,K-12_2014-2015_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,TOTAL,ONE _YEAR_AID_CHANGE
2015-2016,CAMDEN,BLACK HORSE PIKE REGIONAL,390,"33,380,107","30,562,927",0,0,"197,935","2,402,732","139,073",0,0,"38,720","38,720",0,0,33380107.00,0
2015-2016,CAMDEN,BROOKLAWN BORO,580,"4,306,138","3,428,151",0,"442,827","5,747","227,900","18,488","98,367",0,"4,060","4,060",0,"142,142",4371742.00,"65,604"
2015-2016,CAMDEN,CAMDEN CITY,680,"279,847,597","214,776,464",0,0,"4,511,837","8,244,198","5,949,022",0,0,"148,690","148,690","46,068,696",0,279847597.00,0
2015-2016,CAMDEN,CAMDEN CO ED SERV COMM,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,CAMDEN,CAMDEN COUNTY VOCATIONAL,700,"22,332,661","20,952,318",0,0,0,"1,165,462","169,761",0,0,"22,560","22,560",0,0,22332661.00,0
2015-2016,CAMDEN,CHERRY HILL TWP,800,"12,949,463","5,823,558",0,0,"481,223","6,200,217","227,325",0,0,"108,570","108,570",0,0,12949463.00,0
2015-2016,CAMDEN,CHESILHURST,810,"2,496,590","1,533,518",0,0,"122,687","95,861","50,877",0,0,"1,310","1,310","691,027",0,2496590.00,0
2015-2016,CAMDEN,CLEMENTON BORO,880,"6,362,243","5,785,597",0,0,"57,738","371,383","135,485",0,0,"6,020","6,020",0,0,6362243.00,0
2015-2016,CAMDEN,COLLINGSWOOD BORO,940,"10,390,692","7,836,707",0,"133,042","179,759","908,909","265,588",0,0,"16,010","16,010","1,044,170",0,10400195.00,"9,503"
2015-2016,CAMDEN,EASTERN CAMDEN COUNTY REG,1255,"9,266,273","7,420,607",0,0,"438,726","1,200,638","165,422",0,0,"20,440","20,440",0,0,9266273.00,0
2015-2016,CAMDEN,GIBBSBORO BORO,1720,"1,410,707","852,726",0,0,"20,976","134,574","19,662",0,0,"2,630","2,630","377,509",0,1410707.00,0
2015-2016,CAMDEN,GLOUCESTER CITY,1770,"30,074,492","18,865,262",0,0,"232,091","995,008","585,469",0,0,"18,040","18,040","9,360,582",0,30074492.00,0
2015-2016,CAMDEN,GLOUCESTER TWP,1780,"50,849,479","45,803,377",0,0,"513,108","3,915,535","487,009",0,0,"65,225","65,225",0,0,50849479.00,0
2015-2016,CAMDEN,HADDON HEIGHTS BORO,1880,"1,655,424","446,874",0,"365,429","104,187","500,273","66,157",0,0,"8,930","8,930","192,447",0,1693227.00,"37,803"
2015-2016,CAMDEN,HADDON TWP,1890,"8,392,963","7,091,213",0,0,"64,424","1,160,236","37,660",0,0,"19,715","19,715",0,0,8392963.00,0
2015-2016,CAMDEN,HADDONFIELD,1900,"928,036",0,0,0,"36,655","803,671","36,070","1,828",0,"24,780","24,780",252,0,928036.00,0
2015-2016,CAMDEN,HI NELLA,2130,"856,878","678,269",0,0,"37,528","56,918","23,730","58,093",0,"1,170","1,170",0,0,856878.00,0
2015-2016,CAMDEN,LAUREL SPRINGS BORO,2540,"1,893,722","1,536,364",0,"165,792","2,014","184,193","6,115",0,0,"3,390","3,390",0,0,1901258.00,"7,536"
2015-2016,CAMDEN,LAWNSIDE BORO,2560,"3,707,683","3,312,813",0,"41,406","26,571","256,857","75,958",0,0,"3,940","3,940",0,0,3721485.00,"13,802"
2015-2016,CAMDEN,LINDENWOLD BORO,2670,"24,546,306","22,176,686",0,"323,730","143,769","1,270,618","403,357","179,546",0,"24,300","24,300",0,0,24546306.00,0
2015-2016,CAMDEN,MAGNOLIA BORO,2890,"3,058,381","2,788,929",0,0,"1,811","240,803","19,537",0,0,"3,650","3,650",0,1,3058381.00,0
2015-2016,CAMDEN,MERCHANTVILLE BORO,3110,"2,270,141","1,474,903",0,"544,852","21,879","230,435","11,201","28,323",0,"4,040","4,040",0,0,2319673.00,"49,532"
2015-2016,CAMDEN,MOUNT EPHRAIM BORO,3420,"3,916,565","3,300,887",0,"190,900","11,921","360,860","16,849",0,0,"6,120","6,120",0,"22,908",3916565.00,0
2015-2016,CAMDEN,OAKLYN BORO,3770,"2,602,944","2,142,965",0,"124,449","6,655","271,990","20,660","16,232",0,"5,210","5,210",0,"9,573",2602944.00,0
2015-2016,CAMDEN,PENNSAUKEN TWP,4060,"48,134,029","43,049,368",0,0,"475,976","3,033,664","1,472,261",0,0,"51,380","51,380",0,0,48134029.00,0
2015-2016,CAMDEN,PINE HILL BORO,4110,"16,282,538","14,483,942",0,"275,670","223,925","866,509","411,232",0,0,"15,735","15,735",0,0,16292748.00,"10,210"
2015-2016,CAMDEN,RUNNEMEDE BORO,4590,"4,785,387","4,192,794",0,"89,353","17,260","474,234","35,985",496,0,"7,940","7,940",0,"8,123",4834125.00,"48,738"
2015-2016,CAMDEN,SOMERDALE BORO,4790,"3,038,546","2,435,595",0,"218,040","4,821","251,943","25,758","36,799",0,"5,540","5,540",0,"54,510",3038546.00,0
2015-2016,CAMDEN,STERLING HIGH SCHOOL DIST,5035,"6,797,480","5,492,338",0,"791,739","11,030","494,509","26,379",0,0,"7,660","7,660",0,0,6831315.00,"33,835"
2015-2016,CAMDEN,STRATFORD BORO,5080,"4,397,762","3,726,917",0,"171,258","38,720","422,155","20,043",0,0,"7,130","7,130",0,"26,747",4420100.00,"22,338"
2015-2016,CAMDEN,VOORHEES TWP,5400,"5,535,319","2,916,383",0,0,"525,501","1,699,913","236,331",0,0,"28,215","28,215",0,"100,761",5535319.00,0
2015-2016,CAMDEN,WATERFORD TWP,5560,"12,540,086","10,416,210",0,"292,404","664,495","970,050","198,097",0,0,"16,820","16,820",0,0,12574896.00,"34,810"
2015-2016,CAMDEN,WINSLOW TWP,5820,"44,125,936","38,341,995",0,0,"1,066,545","3,025,665","1,389,418",0,0,"46,290","46,290","209,733",0,44125936.00,0
2015-2016,CAMDEN,WOODLYNNE BORO,5900,"6,938,821","6,431,633",0,0,"23,169","345,651","56,276","70,192",0,"5,950","5,950",0,0,6938821.00,0
2015-2016,CAPE MAY,AVALON BORO,170,"73,209",0,0,0,"27,597","39,551","4,841",0,0,610,610,0,0,73209.00,0
2015-2016,CAPE MAY,CAPE MAY CITY,710,"470,627",0,0,"152,251","5,682","76,912","39,821",0,0,"1,330","1,330","276,347",0,553673.00,"83,046"
2015-2016,CAPE MAY,CAPE MAY CO VOCATIONAL,720,"1,382,814",0,0,0,0,"342,978","74,374",0,0,"6,450","6,450","952,562",0,1382814.00,0
2015-2016,CAPE MAY,CAPE MAY POINT,730,"26,803",0,0,0,"1,822",0,151,0,0,30,30,"20,226","4,544",26803.00,0
2015-2016,CAPE MAY,DENNIS TWP,1080,"6,161,005","1,063,893",0,0,"641,970","441,644","81,178",0,0,"6,880","6,880","3,819,316","99,244",6161005.00,0
2015-2016,CAPE MAY,LOWER CAPE MAY REGIONAL,2820,"9,587,568","94,719",0,"718,977","1,189,089","853,900","350,314",0,0,"14,230","14,230","6,528,185",0,9763644.00,"176,076"
2015-2016,CAPE MAY,LOWER TWP,2840,"10,161,297","5,202,298",0,"796,248","764,271","888,970","446,178",0,0,"16,460","16,460","2,030,412",0,10161297.00,0
2015-2016,CAPE MAY,MIDDLE TWP,3130,"13,485,581","6,233,727",0,"131,307","1,479,169","1,295,884","455,997",0,0,"22,560","22,560","3,724,488","119,889",13485581.00,0
2015-2016,CAPE MAY,NORTH WILDWOOD CITY,3680,"666,740",0,0,0,"49,606","154,606","59,917",0,0,"3,100","3,100","396,411",0,666740.00,0
2015-2016,CAPE MAY,OCEAN CITY,3780,"3,766,449",0,0,"2,682,050","232,648","664,280","159,991",0,0,"13,740","13,740",0,0,3766449.00,0
2015-2016,CAPE MAY,SEA ISLE CITY,4700,"254,766",0,0,0,"95,901","61,827","16,321",0,"32,384",930,930,"44,536","1,937",254766.00,0
2015-2016,CAPE MAY,STONE HARBOR BORO,5060,"53,463",0,0,0,"19,782","23,240","2,817",0,0,350,350,"3,705","3,219",53463.00,0
2015-2016,CAPE MAY,UPPER TWP,5340,"10,090,664","4,307,772",0,"417,360","1,445,583","1,098,835","164,852",0,0,"19,270","19,270","2,640,282",0,10113224.00,"22,560"
2015-2016,CAPE MAY,WEST CAPE MAY BORO,5610,"508,018",0,0,"428,064","5,502","27,618","6,484","38,690",0,830,830,0,0,508018.00,0
2015-2016,CAPE MAY,WEST WILDWOOD,5700,"39,176",0,0,0,"1,801","33,757","2,578",0,0,520,520,0,0,39176.00,0
2015-2016,CAPE MAY,WILDWOOD CITY,5790,"5,185,220","812,938",0,0,"120,076","394,801","274,601",0,0,"7,750","7,750","3,567,304",0,5185220.00,0
2015-2016,CAPE MAY,WILDWOOD CREST BORO,5800,"656,345",0,0,"146,927","52,311","164,871","37,185",0,0,"2,480","2,480","250,091",0,656345.00,0
2015-2016,CAPE MAY,WOODBINE BORO,5840,"2,969,115","1,798,565",0,"32,028","164,943","122,247","85,572",0,0,"2,260","2,260","761,240",0,2969115.00,0
2015-2016,CUMBERLAND,BRIDGETON CITY,540,"79,952,446","70,303,534","3,901,078",0,"605,810","2,692,474","2,030,338","311,832",0,"53,690","53,690",0,0,79952446.00,0
2015-2016,CUMBERLAND,COMMERCIAL TWP,950,"10,238,670","9,272,615",0,0,"196,051","470,267","283,193",944,0,"7,800","7,800",0,0,10238670.00,0
2015-2016,CUMBERLAND,CUMBERLAND CO VOCATIONAL,995,"3,925,903","3,734,073",0,0,0,"163,569","20,801",0,0,"3,730","3,730",0,0,3925903.00,0
2015-2016,CUMBERLAND,CUMBERLAND REGIONAL,997,"12,015,959","10,078,197",0,"862,568","128,298","696,669","178,493",0,0,"12,940","12,940","9,412","166,418",12145935.00,"129,976"
2015-2016,CUMBERLAND,DEERFIELD TWP,1020,"2,492,401","2,230,074",0,0,"19,164","192,699","44,024",0,0,"3,220","3,220",0,0,2492401.00,0
2015-2016,CUMBERLAND,DOWNE TWP,1120,"1,831,074","1,148,599",0,"198,816","113,283","109,379","40,699",0,0,"1,970","1,970","199,790","41,420",1855926.00,"24,852"
2015-2016,CUMBERLAND,FAIRFIELD TWP,1460,"6,003,352","5,088,222",0,0,"157,300","286,612","166,335","41,872",0,"4,940","4,940","253,131",0,6003352.00,0
2015-2016,CUMBERLAND,GREENWICH TWP,1820,"428,348","189,820",0,0,"17,030","37,201","7,420",0,0,645,645,"175,587",0,428348.00,0
2015-2016,CUMBERLAND,HOPEWELL TWP,2270,"3,414,818","2,671,653",0,0,"146,233","270,723","72,234","4,710",0,"5,010","5,010","239,245",0,3414818.00,0
2015-2016,CUMBERLAND,LAWRENCE TWP,2570,"6,045,904","5,065,576",0,"428,960","57,280","330,508","158,998","3,746",0,"5,780","5,780",0,0,6056628.00,"10,724"
2015-2016,CUMBERLAND,MAURICE RIVER TWP,3050,"4,676,426","3,545,120",0,"450,324","291,732","283,265","94,769","21,720",0,"5,470","5,470",0,"21,444",4719314.00,"42,888"
2015-2016,CUMBERLAND,MILLVILLE CITY,3230,"67,959,813","49,446,977",0,0,"1,606,355","2,687,332","1,554,350",0,0,"49,600","49,600","12,565,599",0,67959813.00,0
2015-2016,CUMBERLAND,STOW CREEK TWP,5070,"832,248","566,187",0,0,"52,220","68,555","16,100",0,0,"1,150","1,150","121,527","5,359",832248.00,0
2015-2016,CUMBERLAND,UPPER DEERFIELD TWP,5300,"6,282,322","5,604,194",0,0,"58,120","456,601","146,667",0,0,"8,370","8,370",0,0,6282322.00,0
2015-2016,CUMBERLAND,VINELAND CITY,5390,"136,686,610","89,507,454",0,0,"4,314,688","5,190,051","3,028,970",0,0,"101,180","101,180","34,392,237","50,850",136686610.00,0
2015-2016,ESSEX,BELLEVILLE TOWN,250,"25,724,925","21,802,381",0,0,"202,174","2,840,089","285,421","500,000",0,"47,430","47,430",0,0,25724925.00,0
2015-2016,ESSEX,BLOOMFIELD TWP,410,"20,825,814","15,125,042",0,0,"200,619","3,681,307","1,192,046","500,000",0,"63,400","63,400",0,0,20825814.00,0
2015-2016,ESSEX,CALDWELL-WEST CALDWELL,660,"1,013,340",0,0,0,"72,385","848,871","40,034",0,0,"26,025","26,025",0,0,1013340.00,0
2015-2016,ESSEX,CEDAR GROVE TWP,760,"757,307",0,0,0,"56,678","640,232","26,377",0,0,"17,010","17,010",0,0,757307.00,0
2015-2016,ESSEX,EAST ORANGE,1210,"178,156,410","134,123,318",0,0,"1,183,036","6,372,145","3,859,812",0,0,"98,680","98,680","32,420,739",0,178156410.00,0
2015-2016,ESSEX,ESSEX CO ED SERV COMM,1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,ESSEX,ESSEX CO VOC-TECH,1390,"20,629,708","19,068,954",0,0,0,"1,280,037","190,268",0,0,"22,300","22,300",0,"45,849",20629708.00,0
2015-2016,ESSEX,ESSEX FELLS BORO,1400,"98,276",0,0,0,601,"89,553","2,687",0,0,"1,760","1,760",0,"1,915",98276.00,0
2015-2016,ESSEX,FAIRFIELD TWP,1465,"309,341",0,0,0,"17,428","268,309","11,083",0,0,"6,260","6,260",0,1,309341.00,0
2015-2016,ESSEX,GLEN RIDGE BORO,1750,"758,391",0,0,0,"23,478","667,725","29,268",0,0,"18,960","18,960",0,0,758391.00,0
2015-2016,ESSEX,IRVINGTON TOWNSHIP,2330,"112,373,117","81,433,567",0,0,"1,175,305","4,330,651","2,502,539",0,0,"71,110","71,110","22,788,835",0,112373117.00,0
2015-2016,ESSEX,LIVINGSTON TWP,2730,"2,536,196",0,0,0,"211,108","2,114,543","91,185",0,0,"59,680","59,680",0,0,2536196.00,0
2015-2016,ESSEX,MILLBURN TWP,3190,"1,981,782",0,0,0,"132,617","1,673,693","76,672",0,0,"49,400","49,400",0,0,1981782.00,0
2015-2016,ESSEX,MONTCLAIR TOWN,3310,"6,722,691",0,0,0,"1,164,526","4,171,264","747,557",0,0,"68,020","68,020","322,539","180,765",6722691.00,0
2015-2016,ESSEX,NEWARK CITY,3570,"715,271,519","645,243,822",0,0,"6,754,710","28,180,824","19,309,359",0,0,"477,920","477,920","13,306,175","1,520,789",715271519.00,0
2015-2016,ESSEX,NORTH CALDWELL BORO,3630,"233,468",0,0,0,"85,492","86,078","48,817",0,0,"6,540","6,540",0,1,233468.00,0
2015-2016,ESSEX,NUTLEY TOWN,3750,"7,002,612","4,348,391",0,0,"90,584","2,412,726","70,151",0,0,"40,380","40,380",0,0,7002612.00,0
2015-2016,ESSEX,CITY OF ORANGE TWP,3880,"73,454,820","60,692,109","7,152,931",0,"545,602","2,860,412","1,838,577","265,589",0,"49,800","49,800",0,0,73454820.00,0
2015-2016,ESSEX,ROSELAND BORO,4530,"276,702",0,0,0,"20,916","239,967","7,158",0,0,"4,330","4,330",0,1,276702.00,0
2015-2016,ESSEX,SOUTH ORANGE-MAPLEWOOD,4900,"4,216,218",0,0,0,"282,031","3,630,949","162,918",0,0,"70,160","70,160",0,0,4216218.00,0
2015-2016,ESSEX,VERONA BORO,5370,"887,647",0,0,0,"15,587","794,481","33,659",0,0,"21,960","21,960",0,0,887647.00,0
2015-2016,ESSEX,WEST ESSEX REGIONAL,5630,"1,029,742",0,0,0,"158,980","811,495","25,666",0,0,"16,800","16,800",0,1,1029742.00,0
2015-2016,ESSEX,WEST ORANGE TOWN,5680,"6,950,527","1,793,898",0,0,"438,150","4,191,194","386,465",0,0,"70,410","70,410",0,0,6950527.00,0
2015-2016,GLOUCESTER,CLAYTON BORO,860,"9,844,658","8,683,487",0,"96,785","60,696","728,613","171,822","77,145",0,"13,055","13,055",0,0,9844658.00,0
2015-2016,GLOUCESTER,CLEARVIEW REGIONAL,870,"14,902,735","12,725,860",0,0,"409,464","1,397,198","195,116","124,697",0,"25,200","25,200",0,0,14902735.00,0
2015-2016,GLOUCESTER,DEPTFORD TWP,1100,"23,370,702","20,154,580",0,"126,182","316,708","2,287,352","461,530","12,894",0,"41,780","41,780",0,0,23442806.00,"72,104"
2015-2016,GLOUCESTER,EAST GREENWICH TWP,1180,"3,414,738","1,950,752",0,0,"82,561","609,732","82,027","123,906","539,780","12,990","12,990",0,0,3414738.00,0
2015-2016,GLOUCESTER,ELK TWP,1330,"2,533,256","2,013,576",0,"72,190","157,280","195,091","66,201","5,178",0,"3,320","3,320","38,757",0,2554913.00,"21,657"
2015-2016,GLOUCESTER,FRANKLIN TWP,1590,"8,728,582","7,422,943",0,0,"381,399","725,636","173,504",0,0,"12,550","12,550",0,0,8728582.00,0
2015-2016,GLOUCESTER,GATEWAY REGIONAL,1715,"7,410,696","5,835,868",0,"570,240","448,258","483,199","115,019",0,0,"9,350","9,350",0,0,7471284.00,"60,588"
2015-2016,GLOUCESTER,GLASSBORO,1730,"16,446,204","14,747,822",0,"122,281","108,428","1,173,519","259,267",0,0,"21,040","21,040",0,0,16453397.00,"7,193"
2015-2016,GLOUCESTER,GLOUCESTER CO SPEC SERV,1774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,GLOUCESTER,GLOUCESTER CO VOCATIONAL,1775,"7,664,653","6,927,424",0,0,0,"677,047","32,222",0,0,"13,980","13,980",0,0,7664653.00,0
2015-2016,GLOUCESTER,GREENWICH TWP,1830,"1,122,508",0,0,0,"272,654","342,959","84,835",0,0,"5,670","5,670","410,720",0,1122508.00,0
2015-2016,GLOUCESTER,HARRISON TWP,2070,"6,128,763","5,031,432",0,0,"174,772","788,766","106,673",0,0,"13,560","13,560",0,0,6128763.00,0
2015-2016,GLOUCESTER,KINGSWAY REGIONAL,2440,"8,742,379","6,107,281",0,0,"255,495","1,121,086","158,030","133,057","921,670","22,880","22,880",0,0,8742379.00,0
2015-2016,GLOUCESTER,LOGAN TWP,2750,"5,395,095","3,990,950",0,0,"384,544","633,953","101,621",0,0,"10,620","10,620","220,299","42,488",5395095.00,0
2015-2016,GLOUCESTER,MANTUA TWP,2990,"6,160,906","5,286,989",0,0,"94,099","731,840","24,998",0,0,"11,490","11,490",0,0,6160906.00,0
2015-2016,GLOUCESTER,MONROE TWP,3280,"34,528,463","29,851,073",0,0,"432,551","3,338,740","648,933","138,556",0,"59,305","59,305",0,0,34528463.00,0
2015-2016,GLOUCESTER,NATIONAL PARK BORO,3490,"2,077,854","1,904,909",0,0,"6,376","148,644","13,325",0,0,"2,300","2,300",0,0,2077854.00,0
2015-2016,GLOUCESTER,NEWFIELD BORO,3580,"1,425,282","1,164,761",0,0,"84,375","128,334","43,132",0,0,"2,340","2,340",0,0,1425282.00,0
2015-2016,GLOUCESTER,PAULSBORO BORO,4020,"12,130,999","11,357,502",0,"41,265","25,418","615,970","74,739",0,0,"10,345","10,345",0,0,12135584.00,"4,585"
2015-2016,GLOUCESTER,PITMAN BORO,4140,"9,827,865","7,077,074",0,0,"149,546","792,393","135,567",0,0,"13,720","13,720","1,645,845",0,9827865.00,0
2015-2016,GLOUCESTER,SOUTH HARRISON TWP,4880,"1,585,407","888,987",0,"229,224","31,891","207,121","26,008","6,832","149,760","3,690","3,690",0,"38,204",1585407.00,0
2015-2016,GLOUCESTER,DELSEA REGIONAL H.S DIST.,4940,"13,930,257","12,086,304",0,"350,523","300,718","956,261","231,243",0,0,"16,350","16,350",0,0,13957749.00,"27,492"
2015-2016,GLOUCESTER,SWEDESBORO-WOOLWICH,5120,"6,886,950","4,503,553",0,0,"235,217","1,002,741","141,800","4,684","963,615","17,670","17,670",0,0,6886950.00,0
2015-2016,GLOUCESTER,WASHINGTON TWP,5500,"50,044,915","38,162,410",0,0,"2,909,313","4,519,182","747,449",0,0,"73,560","73,560","3,559,441",0,50044915.00,0
2015-2016,GLOUCESTER,WENONAH BORO,5590,"498,684","348,977",0,0,"1,070","140,582","3,555",120,0,"2,190","2,190",0,0,498684.00,0
2015-2016,GLOUCESTER,WEST DEPTFORD TWP,5620,"12,031,649","9,715,221",0,0,"289,865","1,682,240","286,223",0,0,"29,050","29,050",0,0,12031649.00,0
2015-2016,GLOUCESTER,WESTVILLE BORO,5740,"2,472,098","2,274,046",0,0,"3,217","170,596","17,739",0,0,"3,250","3,250",0,0,2472098.00,0
2015-2016,GLOUCESTER,WOODBURY CITY,5860,"11,991,477","10,856,760",0,"125,388","47,242","854,097","93,162",0,0,"14,380","14,380",0,0,12005409.00,"13,932"
2015-2016,GLOUCESTER,WOODBURY HEIGHTS BORO,5870,"996,609","850,018",0,0,"5,424","132,086","4,841",0,0,"2,120","2,120",0,0,996609.00,0
2015-2016,HUDSON,BAYONNE CITY,220,"53,524,660","46,701,236",0,0,"64,658","5,433,590","639,416","500,000",0,"92,880","92,880",0,0,53524660.00,0
2015-2016,HUDSON,EAST NEWARK BORO,1200,"3,395,757","3,075,210",0,0,"7,297","211,093","21,823","72,274",0,"4,030","4,030",0,0,3395757.00,0
2015-2016,HUDSON,GUTTENBERG TOWN,1850,"5,033,239","3,594,240",0,0,"7,250","807,468","197,684","400,877",0,"12,860","12,860",0,0,5033239.00,0
2015-2016,HUDSON,HARRISON TOWN,2060,"25,383,780","23,080,693",0,0,"145,453","1,254,537","822,910","40,247",0,"19,970","19,970",0,0,25383780.00,0
2015-2016,HUDSON,HOBOKEN CITY,2210,"9,907,427",0,0,"2,645,874","124,289","1,463,760","725,704",0,0,"24,610","24,610","5,392,689","255,024",10656560.00,"749,133"
2015-2016,HUDSON,HUDSON COUNTY VOCATIONAL,2295,"21,109,363","19,299,976",0,0,"131,518","1,482,331","152,917",0,0,"21,310","21,310",0,1,21109363.00,0
2015-2016,HUDSON,JERSEY CITY,2390,"418,471,290","270,661,365","125,411",0,"2,953,347","18,332,551","11,334,316",0,0,"306,070","306,070","114,452,158",2,418471290.00,0
2015-2016,HUDSON,KEARNY TOWN,2410,"30,634,645","26,090,104",0,0,"50,657","3,528,116","349,488","500,000",0,"58,140","58,140",0,0,30634645.00,0
2015-2016,HUDSON,NORTH BERGEN TWP,3610,"56,603,083","50,413,223",0,0,"138,421","4,568,078","835,101","500,000",0,"74,130","74,130",0,0,56603083.00,0
2015-2016,HUDSON,SECAUCUS TOWN,4730,"970,026",0,0,0,"70,500","792,919","63,867",0,0,"21,370","21,370",0,0,970026.00,0
2015-2016,HUDSON,UNION CITY,5240,"177,818,679","164,712,713",0,0,"475,331","6,724,737","5,226,396","447,622",0,"115,940","115,940",0,0,177818679.00,0
2015-2016,HUDSON,WEEHAWKEN TWP,5580,"2,693,051",0,0,0,"150,390","724,050","352,479",0,0,"12,510","12,510","1,441,112",0,2693051.00,0
2015-2016,HUDSON,WEST NEW YORK TOWN,5670,"93,312,984","85,160,953",0,0,"502,011","4,162,377","2,840,803","500,000",0,"73,420","73,420",0,0,93312984.00,0
2015-2016,HUNTERDON,ALEXANDRIA TWP,20,"1,607,869","644,612",0,"280,324","253,247","335,552","42,678",0,0,"4,750","4,750","16,472","25,484",1607869.00,0
2015-2016,HUNTERDON,BETHLEHEM TWP,370,"1,519,507","984,263",0,"56,695","81,797","301,829","37,641",0,0,"4,270","4,270",0,"71,420",1542185.00,"22,678"
2015-2016,HUNTERDON,BLOOMSBURY BORO,430,"1,292,655","766,421",0,"267,235","8,512","105,121","6,556","2,558",0,"1,810","1,810",0,"132,632",1292655.00,0
2015-2016,HUNTERDON,CALIFON BORO,670,"296,906","149,438",0,"22,938","3,762","93,822","2,028",0,0,990,990,0,"22,938",296906.00,0
2015-2016,HUNTERDON,CLINTON TOWN,910,"1,224,282","613,561",0,"26,394","25,514","230,446","26,469",0,0,"4,620","4,620","292,658",0,1224282.00,0
2015-2016,HUNTERDON,CLINTON TWP,920,"2,288,009",0,0,"806,992","147,078","780,827","82,468",0,0,"14,050","14,050",0,"442,544",2288009.00,0
2015-2016,HUNTERDON,DELAWARE TWP,1040,"1,144,062",0,0,"301,806","167,799","265,142","34,048",0,0,"3,800","3,800","393,911",0,1170306.00,"26,244"
2015-2016,HUNTERDON,DELAWARE VALLEY REGIONAL,1050,"3,997,620","3,173,700",0,0,"116,642","592,662","74,763",0,0,"9,080","9,080",0,"21,693",3997620.00,0
2015-2016,HUNTERDON,EAST AMWELL TWP,1160,"846,326",0,0,"267,200","181,957","280,435","37,939",0,0,"3,620","3,620","98,275",0,873046.00,"26,720"
2015-2016,HUNTERDON,S HUNTERDON REGIONAL,1376,"2,041,581",0,0,"1,310,050","261,437","495,623","75,234","1,057",0,"9,880","9,880",0,"19,463",2182624.00,"141,043"
2015-2016,HUNTERDON,FLEMINGTON-RARITAN REG,1510,"6,126,350","3,583,525",0,0,"276,640","2,067,960","133,295",0,0,"32,465","32,465",0,0,6126350.00,0
2015-2016,HUNTERDON,FRANKLIN TWP,1600,"303,614",0,0,"90,286","29,391","187,645","16,708",0,0,"2,690","2,690",0,0,329410.00,"25,796"
2015-2016,HUNTERDON,FRENCHTOWN BORO,1680,"735,352","508,039",0,"125,749",457,"85,703","3,251",0,0,"1,240","1,240",0,"9,673",735352.00,0
2015-2016,HUNTERDON,HAMPTON BORO,1970,"824,489","651,390",0,"107,712","3,651","73,373","8,354",0,0,870,870,"5,089","44,988",896297.00,"71,808"
2015-2016,HUNTERDON,HIGH BRIDGE BORO,2140,"1,455,329","1,041,918",0,"20,232","14,219","207,062","29,645",0,0,"3,330","3,330","122,223","23,486",1465445.00,"10,116"
2015-2016,HUNTERDON,HOLLAND TWP,2220,"1,793,054","1,291,479",0,"53,805","53,541","373,356","9,453",0,0,"5,710","5,710",0,0,1793054.00,0
2015-2016,HUNTERDON,HUNTERDON CENTRAL REG,2300,"5,593,808","3,185,863",0,"219,616","308,410","1,840,406","48,383",0,0,"29,880","29,880",0,0,5662438.00,"68,630"
2015-2016,HUNTERDON,HUNTERDON CO ED SER COMM,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2015-2016,HUNTERDON,HUNTERDON CO VOCATIONAL,2308,"930,643","241,040",0,0,0,"132,571","17,448",0,0,"2,080","2,080","529,253","6,171",930643.00,0
2015-2016,HUNTERDON,KINGWOOD TWP,2450,"1,244,392","441,447",0,"121,930","157,946","244,823","31,021",0,0,"3,440","3,440","301,310",0,1305357.00,"60,965"
2015-2016,HUNTERDON,LEBANON BORO,2590,"174,277",0,0,"38,478","12,988","64,267","7,997",0,0,"1,050","1,050",0,"61,273",187103.00,"12,826"
2015-2016,HUNTERDON,LEBANON TWP,2600,"2,328,332","1,058,133",0,"322,074","335,006","429,461","54,166",0,0,"6,940","6,940","126,718","11,106",2350544.00,"22,212"
2015-2016,HUNTERDON,MILFORD BORO,3180,"300,337","202,744",0,"66,906","2,238","58,167","1,915",0,0,910,910,0,0,333790.00,"33,453"
2015-2016,HUNTERDON,N HUNT/VOORHEES REGIONAL,3660,"5,527,213","3,405,928",0,0,"282,618","1,738,465","44,422",0,0,"27,890","27,890",0,0,5527213.00,0
2015-2016,HUNTERDON,READINGTON TWP,4350,"1,402,420",0,0,0,"155,563","1,137,296","67,253",0,0,"16,410","16,410",0,"9,488",1402420.00,0
2015-2016,HUNTERDON,TEWKSBURY TWP,5180,"785,393",0,0,"335,270","90,472","354,090","56,976",0,0,"6,530","6,530",0,0,849868.00,"64,475"
2015-2016,HUNTERDON,UNION TWP,5270,"568,554",0,0,0,"210,782","294,741","36,626",0,0,"4,615","4,615","14,726","2,449",568554.00,0
2015-2016,MERCER,EAST WINDSOR REGIONAL,1245,"18,498,845","14,553,606",0,0,"404,533","2,941,036","499,780",0,0,"49,945","49,945",0,0,18498845.00,0
