COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2012-2013_TOTAL_AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,ADJUSTMENT_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,ADDITIONAL_ADJUSTMENT_AID,K-12_2013-2014_TOTAL_AID,ONE_YEAR_AID_CHANGE,%_AID_CHANGE
SUSSEX,ANDOVER REG,90,"2,152,355","29,231",0,0,"542,362","464,116","61,304","1,182,448",0,0,0,"2,279,461","127,106",5.9
SUSSEX,BYRAM TWP,640,"3,292,527","2,512,278",0,0,"325,211","542,873","70,573",0,0,0,0,"3,450,935","158,408",4.8
SUSSEX,FRANKFORD TWP,1560,"1,899,989",0,0,0,"254,895","304,588","42,195","1,346,579",0,0,0,"1,948,257","48,268",2.5
SUSSEX,FRANKLIN BORO,1570,"3,118,463","2,646,715",0,0,"44,622","277,326","78,236","206,245",0,0,0,"3,253,144","134,681",4.3
SUSSEX,FREDON TWP,1630,"526,667","277,211",0,0,"39,793","183,763","25,900",0,0,0,0,"526,667",0,0
SUSSEX,GREEN TWP,1800,"1,865,659","693,970",0,"402,220","403,821","351,368","44,047","437,219",0,0,0,"2,332,645","466,986",25
SUSSEX,HAMBURG BORO,1930,"1,488,273","749,282",0,0,"45,755","146,403","29,907","646,919",0,0,0,"1,618,266","129,993",8.7
SUSSEX,HAMPTON TWP,1980,"1,269,740","655,394",0,0,"167,978","212,034","32,162","174,490",0,0,"27,682","1,269,740",0,0
SUSSEX,HARDYSTON TWP,2030,"1,943,157",0,0,0,"455,021","395,120","53,906","1,162,080",0,0,0,"2,066,127","122,970",6.3
SUSSEX,HIGH POINT REGIONAL,2165,"6,172,970","4,284,622",0,0,"748,822","606,486","86,130","623,958",0,0,0,"6,350,018","177,048",2.9
SUSSEX,HOPATCONG,2240,"11,102,061","5,217,357",0,0,"668,951","1,104,933","232,021","4,126,103",0,0,0,"11,349,365","247,304",2.2
SUSSEX,KITTATINNY REGIONAL,2465,"5,642,598","3,436,027",0,"112,200","631,242","614,895","80,860","1,053,290",0,0,0,"5,928,514","285,916",5.1
SUSSEX,LAFAYETTE TWP,2490,"664,054","49,711",0,"344,723","107,836","135,970","17,139","172,439",0,0,0,"827,818","163,764",24.7
SUSSEX,LENAPE VALLEY REGIONAL,2615,"4,217,068","3,515,987",0,"516,644","77,634","456,040","18,662",0,0,0,0,"4,584,967","367,899",8.7
