County,Dist,District,"FY19 
K to 12 Aid","Equalization
Aid","Educational
Adequacy Aid","Proj FY20
Choice Aid","Transportation
Aid","Special
Education Aid","Security
Aid","Adjustment
Aid",Vocational Expansion Stabilization Aid,"FY20 
K to 12 Aid","FY19- FY20
K to 12 Aid
Difference",Aid Percent Difference
Bergen,1380,Englewood Cliffs Boro,"414,002",0,0,0,"141,069","304,738","8,968",0,0,"454,775","40,773",9.85%
Bergen,1450,Fair Lawn Boro,"6,351,196","1,443,834",0,0,"840,898","4,363,870","464,041",0,0,"7,112,643","761,447",11.99%
Bergen,1470,Fairview Boro,"12,625,278","11,966,907",0,0,"159,545","1,748,955","721,266",0,0,"14,596,673","1,971,395",15.61%
Bergen,1550,Fort Lee Boro,"2,707,419",0,0,0,"685,744","2,240,880","105,243",0,0,"3,031,867","324,448",11.98%
Bergen,1580,Franklin Lakes Boro,"909,154",0,0,0,"230,578","716,089","20,872",0,0,"967,539","58,385",6.42%
Bergen,1700,Garfield City,"58,866,841","52,943,266",0,0,"709,240","4,299,757","1,872,059",0,0,"59,824,322","957,481",1.63%
Bergen,1760,Glen Rock Boro,"1,484,124",0,0,0,"131,824","1,320,084","201,595",0,0,"1,653,503","169,379",11.41%
Bergen,1860,Hackensack City,"19,221,282","14,505,187",0,0,"682,382","4,787,838","2,121,557",0,0,"22,096,964","2,875,682",14.96%
Bergen,2050,Harrington Park Boro,"381,842","2,317",0,0,"75,414","319,628","24,352",0,0,"421,711","39,869",10.44%
Bergen,2080,Hasbrouck Heights Boro,"2,500,974","798,393",0,0,"143,130","1,565,896","185,508",0,0,"2,692,927","191,953",7.68%
Bergen,2090,Haworth Boro,"263,228",0,0,0,"30,722","221,055","33,319","2,172",0,"287,268","24,040",9.13%
Bergen,2180,Hillsdale Boro,"936,514","11,741",0,0,"126,575","787,755","55,927",0,0,"981,998","45,484",4.86%
Bergen,2200,Ho Ho Kus Boro,"624,294",0,0,0,"203,210","465,746","14,624",0,0,"683,580","59,286",9.50%
Bergen,2620,Leonia Boro,"3,548,136","2,569,576",0,0,0,"896,489","36,798",0,0,"3,502,863","-45,273",-1.28%
Bergen,2710,Little Ferry Boro,"4,290,175","2,901,349",0,0,"299,736","1,040,076","319,475",0,0,"4,560,636","270,461",6.30%
Bergen,2740,Lodi Borough,"18,363,742","15,548,944",0,0,"674,487","2,835,516","1,028,863",0,0,"20,087,810","1,724,068",9.39%
Bergen,2860,Lyndhurst Twp,"2,203,548","404,524",0,0,"239,630","1,609,062","75,106",0,0,"2,328,322","124,774",5.66%
Bergen,2900,Mahwah Twp,"2,685,621",0,0,0,"636,428","2,181,669","59,339",0,0,"2,877,436","191,815",7.14%
Bergen,3060,Maywood Boro,"1,260,849","324,912",0,0,"153,364","796,148","23,035",0,0,"1,297,459","36,610",2.90%
Bergen,3170,Midland Park Boro,"742,564","33,981",0,0,"107,033","583,528","58,146",0,0,"782,688","40,124",5.40%
Bergen,3330,Montvale Boro,"665,799",0,0,0,"192,645","527,246","18,499",0,0,"738,390","72,591",10.90%
Bergen,3350,Moonachie Boro,"459,351",0,0,0,"107,072","247,278","112,578","16,590",0,"483,518","24,167",5.26%
Bergen,3550,New Milford Boro,"2,186,847","587,981",0,0,"430,582","1,294,330","73,366",0,0,"2,386,259","199,412",9.12%
Bergen,3600,North Arlington Boro,"3,276,493","1,772,290",0,0,"184,243","1,574,641","224,941",0,0,"3,756,115","479,622",14.64%
Bergen,3700,Northern Highlands Reg,"787,304",0,0,0,"272,216","527,552","77,671",0,0,"877,439","90,135",11.45%
Bergen,3710,Northern Valley Regional,"1,459,014",0,0,0,"307,800","1,263,555","42,643",0,0,"1,613,998","154,984",10.62%
Bergen,3730,Northvale Boro,"297,378",0,0,0,"24,930","268,105","40,383",0,0,"333,418","36,040",12.12%
Bergen,3740,Norwood Boro,"464,422",0,0,0,"52,474","401,962","41,806",0,0,"496,242","31,820",6.85%
Bergen,3760,Oakland Boro,"870,157",0,0,0,"215,169","705,476","51,232",0,0,"971,877","101,720",11.69%
Bergen,3850,Old Tappan Boro,"442,963",0,0,0,"77,746","381,945","20,128",0,0,"479,819","36,856",8.32%
